area,floor_type,size_m2,price_jod,price_per_m2,source,title,url
عبدون,أرضي,150,77000,513,السوق المفتوح,شقة أرضية مفروشة فاخرة للبيع في عبدون الشمالي قرب السفارة اليابانية 150م تشطيب سوبر ديلوكس بسعر مغري,
عبدون,أرضي,200,130000,650,السوق المفتوح,شقة أرضية مفروشة فاخرة للبيع في عبدون  - قرب السفارة البريطانية 200م تشطيب سوبر ديلوكس بسعر مغري,
عبدون,أرضي,230,180000,783,السوق المفتوح,شقة أرضية جديدة للبيع عبدون مساحات 230م مع تراسات و حدائق تشطيبات ديكورات سوبر ديلوكس بأسعار مميزة,
عبدون,أرضي,288,230000,799,قوشان,شقة أرضية 288م بموقع مميز في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-288%d9%85-%d8%a8%d9%85%d9%88%d9%82%d8%b9-%d9%85%d9%85%d9%8a%d8%b2-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,198,160000,808,قوشان,شقة أرضية مع حديقة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,320,290000,906,قوشان,أرضية طابقية مع حديقة كبيرة في عبدون,https://qoshan.com/property/%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,325,300000,923,قوشان,شقة أرضية 205م مع بركة سباحة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-205%d9%85-%d9%85%d8%b9-%d8%a8%d8%b1%d9%83%d8%a9-%d8%b3%d8%a8%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,352,355000,1009,السوق المفتوح,عقار يستحق المشاهده شقة دوبلكس (أرضيه) 352م مع حديقة 400م بسعر مميز في عبدون/ ref 9572,
عبدون,أرضي,306,310000,1013,السوق المفتوح,شقة أرضية مميزه 306م في أجمل مناطق عبدون / ref 1032,
عبدون,أرضي,100,110000,1100,قوشان,شقة أرضية 100 متر مفروشة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-100-%d9%85%d8%aa%d8%b1-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,210,231000,1100,السوق المفتوح,في موقع راقي ومميز شقة أرضية 210م بمواصفات عالية وراقية جدا في أرقى مناطق عبدون / ref 9755,
عبدون,أرضي,400,440000,1100,السوق المفتوح,بالقرب من السفارة الامريكيه شقة أرضية 400م بتشطيبات راقية في أجمل مناطق عبدون /ref 1164,
عبدون,أرضي,310,345000,1113,قوشان,شقة أرضية 310م مع مدخل و كراج مستقل في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-310%d9%85-%d9%85%d8%b9-%d9%85%d8%af%d8%ae%d9%84-%d9%88-%d9%83%d8%b1%d8%a7%d8%ac-%d9%85%d8%b3%d8%aa%d9%82%d9%84-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88/
عبدون,أرضي,146,165000,1130,قوشان,شقة أرضية استثمارية بموقع ممتاز في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%a7%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1%d9%8a%d8%a9-%d8%a8%d9%85%d9%88%d9%82%d8%b9-%d9%85%d9%85%d8%aa%d8%a7%d8%b2-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af/
عبدون,أرضي,395,450000,1139,قوشان,شقة أرضية دوبلكس مع حديقة كبيرة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88/
عبدون,أرضي,156,179000,1147,قوشان,شقة أرضية مميزة مع حديقة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,240,280000,1167,السوق المفتوح,في عبدون خلف السفارة البريطانية شقة أرضية 240م بسعر مميز / ref 1185,
عبدون,أرضي,295,350000,1186,قوشان,شقة أرضية 295م مع حديقة كبيرة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-295%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,400,480000,1200,قوشان,شقة أرضية دوبلكس مع 300 متر ترسات وحدائق في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%85%d8%b9-300-%d9%85%d8%aa%d8%b1-%d8%aa%d8%b1%d8%b3%d8%a7%d8%aa-%d9%88%d8%ad%d8%af%d8%a7%d8%a6%d9%82-%d9%81/
عبدون,أرضي,560,675000,1205,قوشان,شقق أرضية مع حديقة وبركة سباحة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%88%d8%a8%d8%b1%d9%83%d8%a9-%d8%b3%d8%a8%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,310,375000,1210,قوشان,شقة أرضية دوبلكس في أرقى مناطق عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%81%d9%8a-%d8%a3%d8%b1%d9%82%d9%89-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,320,390000,1219,قوشان,شقة أرضية على مستوى الشارع 320م مع حديقة 250م,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%b9%d9%84%d9%89-%d9%85%d8%b3%d8%aa%d9%88%d9%89-%d8%a7%d9%84%d8%b4%d8%a7%d8%b1%d8%b9-320%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-250%d9%85/
عبدون,أرضي,450,550000,1222,قوشان,شقة طابقية أرضية 450متر مع حديقة كبيرة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-450-%d9%85%d8%aa%d8%b1-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,260,330000,1269,السوق المفتوح,شقة أرضية مميزة للبيع في عبدون الشمالي  - قرب السفارة الهولندية 260م حديقة وترسات 150م,
عبدون,أرضي,255,340000,1333,قوشان,شقة أرضية 3 غرف نوم بأجمل مناطق عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-3-%d8%ba%d8%b1%d9%81-%d9%86%d9%88%d9%85-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
