area,floor_type,size_m2,price_jod,price_per_m2,source,title,url
دير غبار,أرضي,350,190000,543,السوق المفتوح,شقة أرضية (شبه فيلا) فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس فيلادلفيا 350م مع حديقة 200م,
دير غبار,أرضي,330,210000,636,السوق المفتوح,شقة أرضية مميزة 330م داخلي_250م خارجي في أرقى مناطق دير غبار / ref 9898,
دير غبار,أرضي,193,140000,725,قوشان,شقة أرضية على مستوى الشارع في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%b9%d9%84%d9%89-%d9%85%d8%b3%d8%aa%d9%88%d9%89-%d8%a7%d9%84%d8%b4%d8%a7%d8%b1%d8%b9-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,395,295000,747,السوق المفتوح,شقة طابقية أرضية فخمة على اشارات دير غبار 395م داخلي + 200م خارجي مع مدخل مستقل وكراج خاص,
دير غبار,أرضي,240,180000,750,السوق المفتوح,شقة أرضية مفروشة مميزة للبيع في دير غبار - حي السهل  - قرب مدارس القمة 240م مع حديقة وترس 60م,
دير غبار,أرضي,145,109000,752,السوق المفتوح,شقه أرضية للبيع دير غبار مساحه 145م مع تراسات و حدائق بأسعار مميزة,
دير غبار,أرضي,155,120000,774,السوق المفتوح,شقة أرضية مع حديقة 155م في أجمل مناطق دير غبار / ref 1079,
دير غبار,أرضي,155,121000,781,السوق المفتوح,ديرغبار  طابق أرضية مع حديقة 155م في أجمل مناطق دير غبار / ref 1079,
دير غبار,أرضي,190,150000,789,قوشان,شبه أرضي مع حديقة ومدخل خاص في دير غبار,https://qoshan.com/property/%d8%b4%d8%a8%d9%87-%d8%a3%d8%b1%d8%b6%d9%8a-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%88%d9%85%d8%af%d8%ae%d9%84-%d8%ae%d8%a7%d8%b5-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,191,155000,812,السوق المفتوح,شقة أرضية مفروشة فاخرة للبيع في دير غبار قرب جونيا ودوار الهاشميين 191م مع ترس وحديقة 35م بسعر مغري,
دير غبار,أرضي,175,145000,829,السوق المفتوح,شقة شبه أرضي 175م بمدخل مستقل وترس في دير غبار,
دير غبار,أرضي,175,145000,829,السوق المفتوح,شقة أرضية فاخرة 175م في دير غبار - تشطيبات ملكية وتسليم فوري,
دير غبار,أرضي,175,145000,829,السوق المفتوح,شقة شبه أرضي 175م بمدخل خاص وترس في دير غبار - خصوصية تامة,
دير غبار,أرضي,129,110000,853,السوق المفتوح,شقة أرضية مميزة للبيع 129م مع حديقة 25م في أجمل مناطق دير غبار وبسعر مغري / ref 9915,
دير غبار,أرضي,190,165000,868,السوق المفتوح,بارقى مناطق دير غبار حجار نوابلسه شقه بمساحه 190 م موجود طابق ارضي اول وثاني,
دير غبار,أرضي,230,200000,870,السوق المفتوح,شقة أرضية فاخرة 230م مع ترس أمامي ومدخل خاص في دير غبار – مشروع ملاك,
دير غبار,أرضي,176,155000,881,قوشان,شبه أرضي مع حديقة كبيرة في دير غبار,https://qoshan.com/property/%d8%b4%d8%a8%d9%87-%d8%a3%d8%b1%d8%b6%d9%8a-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,170,150000,882,قوشان,شقة شبه أرضي مع مدخل خاص و تراس في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b4%d8%a8%d9%87-%d8%a3%d8%b1%d8%b6%d9%8a-%d9%85%d8%b9-%d9%85%d8%af%d8%ae%d9%84-%d8%ae%d8%a7%d8%b5-%d9%88-%d8%aa%d8%b1%d8%a7%d8%b3-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8/
دير غبار,أرضي,175,155000,886,السوق المفتوح,شقة أرضية فاخرة 175م مع مدخل خاص وترس في دير غبار – تسليم فوري,
دير غبار,أرضي,175,155000,886,السوق المفتوح,شقه شبه ارضي بمدخل مستقل وترس واسع بارقى مناطق دير غبار حجار نوابلسه بمساحه داخليه 175 م وترس خارجي,
دير غبار,أرضي,175,155000,886,السوق المفتوح,شقة أرضية فاخرة 175م بمدخل مستقل في دير غبار – تسليم فوري,
دير غبار,أرضي,133,119000,895,السوق المفتوح,شقة أرضي خلفي يمين للبيع مع ترس وحديقة – دير غبار 133م+64م خارجي,
دير غبار,أرضي,133,119000,895,السوق المفتوح,شقة أرضية فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس القمة 133م مع حديقة وترس 80م لم تسكن,
دير غبار,أرضي,230,210000,913,قوشان,شبه أرضي على شارعين 230م في ديرغبار,https://qoshan.com/property/%d8%b4%d8%a8%d9%87-%d8%a3%d8%b1%d8%b6%d9%8a-%d8%b9%d9%84%d9%89-%d8%b4%d8%a7%d8%b1%d8%b9%d9%8a%d9%86-230%d9%85-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,136,125000,919,السوق المفتوح,شقة أرضية فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس القمة 136م مع حديقة وترس 78م لم تسكن,
دير غبار,أرضي,136,126000,926,السوق المفتوح,شقة أرضية فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس القمة 136م مع حديقة وترسات 120م لم تسكن,
دير غبار,أرضي,200,195000,975,السوق المفتوح,شقة شبه أرضي 200م في أجمل مناطق دير غبار وبسعر مميز / ref 1253,
دير غبار,أرضي,120,120000,1000,قوشان,شقة أرضية مفروشة 120متر مع ترس في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-120%d9%85%d8%aa%d8%b1-%d9%85%d8%b9-%d8%aa%d8%b1%d8%b3-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,440,440000,1000,قوشان,شقة أرضية دوبلكس 440م مع بركة سباحة في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-440%d9%85-%d9%85%d8%b9-%d8%a8%d8%b1%d9%83%d8%a9-%d8%b3%d8%a8%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1/
دير غبار,أرضي,200,205000,1025,السوق المفتوح,شقة أرضية فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس القمة 200م مع ترس 70م لم تسكن,
دير غبار,أرضي,280,300000,1071,قوشان,شقة أرضية مع ترس و كراج مستقل في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%aa%d8%b1%d8%b3-%d9%88-%d9%83%d8%b1%d8%a7%d8%ac-%d9%85%d8%b3%d8%aa%d9%82%d9%84-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7/
دير غبار,أرضي,230,249000,1083,قوشان,شقق أرضية بمساحات مختلفة في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d8%ae%d8%aa%d9%84%d9%81%d8%a9-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,270,295000,1093,السوق المفتوح,شقة أرضية فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس القمة 270م مع ترس 50م تشطيب سوبر ديلوكس,
دير غبار,أرضي,200,220000,1100,قوشان,شبه أرضي مع حديقة كبيرة بأجمل مناطق دير غبار,https://qoshan.com/property/%d8%b4%d8%a8%d9%87-%d8%a3%d8%b1%d8%b6%d9%8a-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%af%d9%8a%d8%b1/
