area,source,size_m2,price_jod,price_per_m2
عبدون,qoshan,350,490000,1400
عبدون,qoshan,310,450000,1452
عبدون,qoshan,425,640000,1506
عبدون,qoshan,165,225000,1364
عبدون,qoshan,250,430000,1720
عبدون,qoshan,220,280000,1273
عبدون,qoshan,79,89000,1127
عبدون,qoshan,268,230000,858
عبدون,qoshan,315,550000,1746
عبدون,qoshan,217,315000,1452
عبدون,qoshan,230,450000,1957
عبدون,qoshan,281,270000,961
عبدون,qoshan,156,179000,1147
عبدون,qoshan,362,235000,649
عبدون,qoshan,104,145000,1394
عبدون,qoshan,280,200000,714
عبدون,qoshan,318,245000,770
عبدون,qoshan,235,350000,1489
عبدون,qoshan,320,400000,1250
عبدون,qoshan,365,445000,1219
عبدون,qoshan,235,315000,1340
عبدون,qoshan,262,360000,1374
عبدون,qoshan,370,500000,1351
عبدون,qoshan,300,320000,1067
عبدون,qoshan,310,345000,1113
عبدون,qoshan,205,300000,1463
عبدون,qoshan,455,400000,879
عبدون,qoshan,275,390000,1418
عبدون,qoshan,320,290000,906
عبدون,qoshan,141,162000,1149
عبدون,qoshan,120,150000,1250
عبدون,qoshan,198,160000,808
عبدون,qoshan,281,265000,943
عبدون,qoshan,500,795000,1590
عبدون,qoshan,255,340000,1333
عبدون,qoshan,300,295000,983
عبدون,qoshan,146,165000,1130
عبدون,qoshan,470,620000,1319
عبدون,qoshan,288,230000,799
عبدون,qoshan,410,360000,878
عبدون,qoshan,275,430000,1564
عبدون,qoshan,220,170000,773
عبدون,qoshan,403,545000,1352
عبدون,qoshan,560,675000,1205
عبدون,qoshan,367,340000,926
عبدون,qoshan,100,93000,930
عبدون,qoshan,275,275000,1000
عبدون,qoshan,295,350000,1186
عبدون,qoshan,395,450000,1139
عبدون,qoshan,350,420000,1200
عبدون,qoshan,400,480000,1200
عبدون,qoshan,500,595000,1190
عبدون,qoshan,450,550000,1222
عبدون,qoshan,310,375000,1210
عبدون,qoshan,180,450000,2500
عبدون,qoshan,334,385000,1153
عبدون,qoshan,275,375000,1364
عبدون,qoshan,320,390000,1219
عبدون,qoshan,430,500000,1163
عبدون,qoshan,222,220000,991
عبدون,qoshan,100,110000,1100
عبدون,qoshan,400,400000,1000
عبدون,qoshan,300,450000,1500
عبدون,qoshan,361,295000,817
عبدون,opensooq,173,158000,913
عبدون,opensooq,230,260000,1130
عبدون,opensooq,150,77000,513
عبدون,opensooq,200,130000,650
عبدون,opensooq,320,230000,719
عبدون,opensooq,110,80000,727
عبدون,opensooq,263,209000,795
عبدون,opensooq,450,320000,711
عبدون,opensooq,250,340000,1360
عبدون,opensooq,200,125000,625
عبدون,opensooq,225,235000,1044
عبدون,opensooq,300,325000,1083
عبدون,opensooq,150,158000,1053
عبدون,opensooq,230,180000,783
عبدون,opensooq,120,89000,742
عبدون,opensooq,356,280000,787
عبدون,opensooq,115,105000,913
عبدون,opensooq,112,115000,1027
عبدون,opensooq,260,250000,962
عبدون,opensooq,190,205000,1079
عبدون,opensooq,430,350000,814
عبدون,opensooq,230,165000,717
عبدون,opensooq,230,190000,826
عبدون,opensooq,222,160000,721
عبدون,opensooq,230,250000,1087
عبدون,opensooq,185,200000,1081
عبدون,opensooq,260,330000,1269
عبدون,opensooq,155,200000,1290
عبدون,opensooq,318,235000,739
عبدون,opensooq,175,120000,686
عبدون,opensooq,133,170000,1278
عبدون,opensooq,350,250000,714
عبدون,opensooq,300,345000,1150
عبدون,opensooq,290,330000,1138
عبدون,opensooq,350,250000,714
عبدون,opensooq,260,118000,454
عبدون,opensooq,230,380000,1652
عبدون,opensooq,200,205000,1025
عبدون,opensooq,285,250000,877
عبدون,opensooq,112,125000,1116
عبدون,opensooq,210,135000,643
عبدون,opensooq,306,310000,1013
عبدون,opensooq,130,135000,1038
عبدون,opensooq,360,440000,1222
عبدون,opensooq,100,125000,1250
عبدون,opensooq,180,180000,1000
عبدون,opensooq,182,200000,1099
عبدون,opensooq,210,290000,1381
عبدون,opensooq,455,400000,879
عبدون,opensooq,300,345000,1150
عبدون,opensooq,125,160000,1280
عبدون,opensooq,240,300000,1250
عبدون,opensooq,210,231000,1100
عبدون,opensooq,450,480000,1067
عبدون,opensooq,240,280000,1167
عبدون,opensooq,352,355000,1009
عبدون,opensooq,200,139000,695
عبدون,opensooq,280,400000,1429
عبدون,opensooq,150,127000,847
عبدون,opensooq,400,440000,1100
عبدون,opensooq,500,430000,860
عبدون,opensooq,220,125000,568
عبدون,opensooq,355,580000,1634
عبدون,opensooq,265,675000,2547
عبدون,opensooq,355,480000,1352
عبدون,opensooq,225,320000,1422
عبدون,opensooq,300,550000,1833
عبدون,opensooq,150,135000,900
عبدون,opensooq,250,320000,1280
عبدون,opensooq,250,370000,1480
دابوق,qoshan,290,345000,1190
دابوق,qoshan,230,269000,1170
دابوق,qoshan,200,205000,1025
دابوق,qoshan,389,410000,1054
دابوق,qoshan,245,300000,1224
دابوق,qoshan,330,395000,1197
دابوق,qoshan,430,450000,1047
دابوق,qoshan,410,350000,854
دابوق,qoshan,430,350000,814
دابوق,qoshan,340,275000,809
دابوق,qoshan,200,310000,1550
دابوق,qoshan,235,330000,1404
دابوق,qoshan,205,325000,1585
دابوق,qoshan,420,400000,952
دابوق,qoshan,200,160000,800
دابوق,qoshan,195,205000,1051
دابوق,qoshan,167,163000,976
دابوق,qoshan,315,295000,937
دابوق,qoshan,260,295000,1135
دابوق,qoshan,200,190000,950
دابوق,qoshan,340,270000,794
دابوق,qoshan,270,210000,778
دابوق,qoshan,429,410000,956
دابوق,qoshan,184,180000,978
دابوق,qoshan,200,150000,750
دابوق,qoshan,328,360000,1098
دابوق,qoshan,270,245000,907
دابوق,qoshan,160,225000,1406
دابوق,qoshan,250,185000,740
دابوق,qoshan,331,265000,801
دابوق,qoshan,163,170000,1043
دابوق,qoshan,160,160000,1000
دابوق,qoshan,190,160000,842
دابوق,qoshan,170,285000,1676
دابوق,qoshan,345,465000,1348
دابوق,qoshan,310,445000,1435
دابوق,qoshan,186,150000,806
دابوق,bayut,500,170000,340
دابوق,bayut,275,275000,1000
دابوق,bayut,160,220000,1375
دابوق,bayut,165,220000,1333
دابوق,bayut,165,195000,1182
دابوق,bayut,165,240000,1455
دابوق,bayut,250,315000,1260
دابوق,bayut,290,360000,1241
دابوق,bayut,230,275000,1196
دابوق,bayut,550,550000,1000
دابوق,bayut,186,165000,887
دابوق,bayut,280,315000,1125
دابوق,bayut,195,125000,641
دابوق,bayut,175,130000,743
دابوق,bayut,560,550000,982
دابوق,bayut,250,350000,1400
دابوق,bayut,250,350000,1400
دابوق,bayut,250,350000,1400
دابوق,bayut,215,300000,1395
دابوق,bayut,425,325000,765
دابوق,bayut,195,205000,1051
دابوق,bayut,225,230000,1022
دابوق,bayut,250,230000,920
دابوق,bayut,475,350000,737
دابوق,bayut,180,225000,1250
دابوق,bayut,240,310000,1292
دابوق,bayut,300,280000,933
دابوق,bayut,380,380000,1000
دابوق,bayut,364,435000,1195
دابوق,bayut,200,165000,825
دابوق,bayut,190,155000,816
دابوق,bayut,350,465000,1329
دابوق,bayut,420,675000,1607
دابوق,bayut,642,530000,826
دابوق,bayut,367,360000,981
دابوق,bayut,366,325000,888
دابوق,bayut,344,320000,930
دابوق,bayut,195,270000,1385
دابوق,bayut,195,250000,1282
دابوق,bayut,200,330000,1650
دابوق,bayut,195,260000,1333
دابوق,bayut,195,270000,1385
دابوق,bayut,230,300000,1304
دابوق,bayut,225,360000,1600
دابوق,bayut,552,450000,815
دابوق,bayut,200,165000,825
دابوق,bayut,186,185000,995
دابوق,bayut,180,235000,1306
دابوق,bayut,207,290000,1401
دابوق,bayut,207,340000,1643
دابوق,bayut,265,265000,1000
دابوق,bayut,300,370000,1233
دابوق,bayut,250,260000,1040
دابوق,bayut,250,290000,1160
دابوق,bayut,380,350000,921
دابوق,bayut,346,240000,694
دابوق,bayut,200,195000,975
دابوق,bayut,150,135000,900
دابوق,bayut,305,365000,1197
دابوق,bayut,210,185000,881
دابوق,bayut,210,185000,881
دابوق,bayut,220,140000,636
دابوق,bayut,220,140000,636
دابوق,bayut,210,185000,881
دابوق,bayut,210,190000,905
دابوق,bayut,210,195000,929
دابوق,bayut,210,180000,857
دابوق,bayut,300,370000,1233
دابوق,bayut,216,125000,579
دابوق,bayut,270,290000,1074
دابوق,bayut,370,320000,865
دابوق,bayut,160,195000,1219
دابوق,bayut,230,205000,891
دابوق,bayut,260,285000,1096
دابوق,bayut,350,430000,1229
دابوق,bayut,515,450000,874
دابوق,bayut,180,270000,1500
دابوق,bayut,350,600000,1714
دابوق,bayut,485,750000,1546
دابوق,bayut,330,225000,682
دابوق,bayut,325,180000,554
دابوق,bayut,145,127000,876
دابوق,bayut,245,190000,776
دابوق,bayut,345,425000,1232
دابوق,bayut,305,245000,803
دابوق,bayut,305,280000,918
دابوق,bayut,305,330000,1082
دابوق,bayut,305,360000,1180
دابوق,bayut,430,420000,977
دابوق,bayut,408,330000,809
دابوق,bayut,180,215000,1194
دابوق,bayut,180,250000,1389
دابوق,bayut,355,360000,1014
دابوق,bayut,345,420000,1217
دابوق,bayut,195,210000,1077
دابوق,bayut,195,190000,974
دابوق,bayut,180,215000,1194
دابوق,bayut,305,340000,1115
دابوق,bayut,305,360000,1180
دابوق,bayut,220,180000,818
دابوق,bayut,300,280000,933
دابوق,bayut,400,260000,650
دابوق,bayut,230,310000,1348
دابوق,bayut,570,585000,1026
دابوق,bayut,370,550000,1486
دابوق,bayut,429,400000,932
دابوق,bayut,219,195000,890
دابوق,bayut,115,150000,1304
دابوق,bayut,150,150000,1000
دابوق,bayut,260,300000,1154
دابوق,bayut,270,300000,1111
دابوق,bayut,150,115000,767
دابوق,bayut,180,140000,778
دابوق,bayut,220,200000,909
دابوق,bayut,315,470000,1492
دابوق,bayut,400,280000,700
دابوق,bayut,494,270000,547
دابوق,bayut,180,140000,778
دابوق,bayut,230,320000,1391
دابوق,bayut,230,350000,1522
دابوق,bayut,170,130000,765
دابوق,bayut,150,125000,833
دابوق,bayut,150,140000,933
دابوق,bayut,295,285000,966
دابوق,bayut,385,425000,1104
دابوق,bayut,320,470000,1469
دابوق,bayut,280,330000,1179
دابوق,bayut,180,120000,667
دابوق,bayut,270,350000,1296
دابوق,bayut,210,170000,810
دابوق,bayut,180,80000,444
دابوق,bayut,225,250000,1111
دابوق,bayut,230,220000,957
دابوق,bayut,250,180000,720
دابوق,bayut,220,165000,750
دابوق,bayut,300,250000,833
دابوق,bayut,220,230000,1045
دابوق,bayut,380,420000,1105
دابوق,bayut,321,300000,935
دابوق,bayut,245,180000,735
دابوق,bayut,380,300000,789
دابوق,bayut,430,700000,1628
دابوق,bayut,219,170000,776
دابوق,bayut,260,260000,1000
دابوق,bayut,200,165000,825
دابوق,bayut,336,239000,711
دابوق,bayut,220,165000,750
دابوق,bayut,170,265000,1559
دابوق,bayut,500,530000,1060
