area,title,size_m2,price_jod,price_per_m2,url
شارع المدينة الطبية,مكاتب تجارية مميزة بمساحات تبدأ من 90م وتصل إلى 500م,90,450000,5000,https://qoshan.com/property/%d9%85%d9%83%d8%a7%d8%aa%d8%a8-%d8%aa%d8%ac%d8%a7%d8%b1%d9%8a%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d8%aa%d8%a8%d8%af%d8%a3-%d9%85%d9%86-90%d9%85-%d9%88/
بوليفارد العبدلي,80م دوبلكس مع ترس كبير في بوليفارد العبدلي,80,220000,2750,https://qoshan.com/property/80%d9%85-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%85%d8%b9-%d8%aa%d8%b1%d8%b3-%d9%83%d8%a8%d9%8a%d8%b1-%d9%81%d9%8a-%d8%a8%d9%88%d9%84%d9%8a%d9%81%d8%a7%d8%b1%d8%af-%d8%a7%d9%84%d8%b9%d8%a8%d8%af/
بوليفارد العبدلي,48متر ضمن برج سكني في العبدلي,48,125000,2604,https://qoshan.com/property/48%d9%85%d8%aa%d8%b1-%d8%b6%d9%85%d9%86-%d8%a8%d8%b1%d8%ac-%d8%b3%d9%83%d9%86%d9%8a-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a8%d8%af%d9%84%d9%8a/
بوليفارد العبدلي,49متر ضمن برج سكني في العبدلي,49,100000,2041,https://qoshan.com/property/49%d9%85%d8%aa%d8%b1-%d8%b6%d9%85%d9%86-%d8%a8%d8%b1%d8%ac-%d8%b3%d9%83%d9%86%d9%8a-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a8%d8%af%d9%84%d9%8a/
بوليفارد العبدلي,87متر ضمن برج سكني في العبدلي,,160000,,https://qoshan.com/property/87%d9%85%d8%aa%d8%b1-%d8%b6%d9%85%d9%86-%d8%a8%d8%b1%d8%ac-%d8%b3%d9%83%d9%86%d9%8a-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a8%d8%af%d9%84%d9%8a/
بوليفارد العبدلي,شقة 308م مفروشة مميزة في أبراج العبدلي,308,500000,1623,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-308%d9%85-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%a3%d8%a8%d8%b1%d8%a7%d8%ac-%d8%a7%d9%84%d8%b9%d8%a8%d8%af%d9%84%d9%8a/
بوليفارد العبدلي,110متر ضمن برج سكني فخم في بوليفارد العبدلي,110,260000,2364,https://qoshan.com/property/110%d9%85%d8%aa%d8%b1-%d8%b6%d9%85%d9%86-%d8%a8%d8%b1%d8%ac-%d8%b3%d9%83%d9%86%d9%8a-%d9%81%d8%ae%d9%85-%d9%81%d9%8a-%d8%a8%d9%88%d9%84%d9%8a%d9%81%d8%a7%d8%b1%d8%af-%d8%a7%d9%84%d8%b9%d8%a8%d8%af/
حجارة النوابلسة,شقق مميزة 3 نوم في حجارة النوابلسة,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-3-%d9%86%d9%88%d9%85-%d9%81%d9%8a-%d8%ad%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d9%86%d9%88%d8%a7%d8%a8%d9%84%d8%b3%d8%a9/
حجارة النوابلسة,شقة أرضية مع حديقة بمواصفات خاصة في حجارة النوابلسة,119,169000,1420,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a8%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d8%ae%d8%a7%d8%b5%d8%a9-%d9%81%d9%8a-%d8%ad%d8%ac%d8%a7/
حجارة النوابلسة,شقق مميزة بأسعار منافسة في حجارة النوابلسة,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d8%a8%d8%a3%d8%b3%d8%b9%d8%a7%d8%b1-%d9%85%d9%86%d8%a7%d9%81%d8%b3%d8%a9-%d9%81%d9%8a-%d8%ad%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d9%86%d9%88%d8%a7/
حجارة النوابلسة,مساحات مختلفة بتشطيبات خاصة في حجارة النوابلسة,,,,https://qoshan.com/property/%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d8%ae%d8%aa%d9%84%d9%81%d8%a9-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d8%ae%d8%a7%d8%b5%d8%a9-%d9%81%d9%8a-%d8%ad%d8%ac%d8%a7%d8%b1%d8%a9-%d8%a7/
حجارة النوابلسة,قطع أراضي مميزة بأرقى أحياء عمان الغربية,,,,https://qoshan.com/property/%d9%82%d8%b7%d8%b9-%d8%a3%d8%b1%d8%a7%d8%b6%d9%8a-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d8%a8%d8%a3%d8%b1%d9%82%d9%89-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9%d9%85%d8%a7%d9%86-%d8%a7%d9%84%d8%ba%d8%b1%d8%a8/
حجارة النوابلسة,شقق طابقية بإطلالة مميزة ودائمة في حجارة النوابلسة,360,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%88%d8%af%d8%a7%d8%a6%d9%85%d8%a9-%d9%81%d9%8a-%d8%ad%d8%ac%d8%a7/
حجارة النوابلسة,شقق 180 طابقية مقابل وزارة الخارجية على طريق المطار,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-180-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d9%85%d9%82%d8%a7%d8%a8%d9%84-%d9%88%d8%b2%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%ae%d8%a7%d8%b1%d8%ac%d9%8a%d8%a9-%d8%b9%d9%84%d9%89-%d8%b7/
الدوار الرابع,شقق طابقية بأعلى المواصفات في جبل عمان الدوار الرابع,385,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%81%d9%8a-%d8%ac%d8%a8%d9%84-%d8%b9%d9%85%d8%a7%d9%86/
الدوار الرابع,مشروع شقق 2 و 3 نوم في جبل عمّان,,,,https://qoshan.com/property/%d9%85%d8%b4%d8%b1%d9%88%d8%b9-%d8%b4%d9%82%d9%82-2-%d9%88-3-%d9%86%d9%88%d9%85-%d9%81%d9%8a-%d8%ac%d8%a8%d9%84-%d8%b9%d9%85%d9%91%d8%a7%d9%86/
