area,source,size_m2,price_jod,price_per_m2,title
أم السماق,qoshan,120,95000,792,شقق 120متر بمواصفات عالية في أم السماق
أم السماق,qoshan,140,110000,786,أخير مع رووف استثماري في أم السماق
أم السماق,qoshan,181,140000,773,أرضية مع حديقة على مستوى الشارع في أم السماق
أم السماق,qoshan,200,175000,875,أخير مع رووف بتشطيبات خاصة في أم السماق
أم السماق,qoshan,200,230000,1150,شقق أرضية 200م مع تراسات وحدائق في أم السماق
أم السماق,qoshan,100,90000,900,100م مفروشة فرش فاخر في ام السماق
أم السماق,qoshan,250,230000,920,شقة أخير مع رووف دوبلكس 250م في أم السماق
أم السماق,qoshan,240,200000,833,طابق اخير 240م بموقع مميز في ام السماق
أم السماق,qoshan,265,240000,906,أخير مع رووف بإطلالة مميزة وتشطيبات عالية في ام السماق
أم السماق,qoshan,301,220000,731,أخير مع رووف 301م دوبلكس خلف سيتي مول
أم السماق,qoshan,286,210000,734,شقة مفروشة دوبلكس مع رووف باطلالة مميزة
أم السماق,qoshan,230,230000,1000,شقق مميزة وبمساحات مختلفة في أم السماق
أم السماق,qoshan,265,300000,1132,طابقية أرضية مميزة للبيع ش.عبدالله غوشة
أم السماق,qoshan,325,145000,446,شقة أرضية بمساحة ١٥٨متر في ام السماق
أم السماق,bayut,300,140000,467,"4 Bedrooms Apartment For Sale Um Al Summaq, Amman"
أم السماق,bayut,215,110000,512,"4 Bedrooms Apartment For Sale Um Al Summaq, Amman"
أم السماق,bayut,170,130000,765,"3 Bedrooms Apartment For Sale Um Al Summaq, Amman"
أم السماق,bayut,165,75000,455,3 Bedrooms Apartment For Sale Um Al Summaq Amman
أم السماق,bayut,230,189000,822,"4 Bedrooms Apartment For Sale Um Al Summaq, Amman"
أم السماق,bayut,290,245000,845,"4 Bedrooms Apartment For Sale Um Al Summaq, Amman"
أم السماق,bayut,300,175000,583,"4 Bedrooms Apartment For Sale Um Al Summaq, Amman"
أم السماق,bayut,180,225000,1250,"3 Bedrooms Apartment For Sale in Um Al Summaq, Amman"
أم السماق,bayut,220,225000,1023,Duplex last floor with roof for sale in Umm Al-Summaq 270m
أم السماق,bayut,200,250000,1250,Duplex last floor with roof for sale in Umm Al-Summaq 250m
أم السماق,bayut,235,230000,979,Luxury Apartment For Sale In Um Al Summaq
أم السماق,bayut,228,250000,1096,Apartment with garden 2023 for sale in Um AlSummaq 228m
أم السماق,bayut,228,170000,746,Apartment 2023 with view for sale in Um AlSummaq 228m
أم السماق,bayut,262,250000,954,Duplex last floor with roof apartment for sale in Um Al-Summaq 262m
أم السماق,bayut,200,120000,600,3rd floor apartment for sale in Um Al-Summaq 200m
أم السماق,bayut,268,165000,616,Apartment For Sale In Um Al Summaq
أم السماق,bayut,236,100000,424,Apartment For Sale In Um Al Summaq
أم السماق,bayut,165,65000,394,1st floor apartment for sale in Um Al Summaq building area of 165m
أم السماق,bayut,182,160000,879,Ground floor with garden apartment for sale in Um Al-Summaq 182m
أم السماق,bayut,186,125000,672,1st floor apartment for sale in Um Al-Summaq 186m
أم السماق,bayut,186,125000,672,3rd floor apartment for sale in Um Al-Summaq 186m
أم السماق,bayut,350,270000,771,Duplex ground floor apartment for sale in Um Al-Summaq 350m
أم السماق,bayut,350,300000,857,Flat and duplex last floor with roof for sale in Um Al-Summaq 470m
أم السماق,bayut,420,270000,643,Triplex ground floor apartment for sale in Um Al-Summaq 420m
أم السماق,bayut,212,160000,755,Ground floor with garden for for-sale in Um Al-Summaq building area 212m
أم السماق,bayut,201,140000,697,Ground floor with terrace for for-sale in Um Al Summaq building area 201m
أم السماق,bayut,250,155000,620,شقة للبيع في ام السماق
أم السماق,bayut,165,155000,939,"Ground floor apartment with outdoor space for sale in Um AlSummaq, building area 165 m, external area 35 m"
أم السماق,bayut,200,175000,875,A last with roof apartment for sale in Um AlSummaq with a total builtup area of 200 m
