area,title,size_m2,price_jod,price_per_m2,url
عبدون,شقق 180 متر بتشطيبات مميزة في عبدون,180,450000,2500,https://qoshan.com/property/%d8%b4%d9%82%d9%82-180-%d9%85%d8%aa%d8%b1-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق طابقية بأعلى المواصفات في عبدون,230,450000,1957,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شبه 4 نوم قيد الإنشاء في أفضل أحياء عبدون,315,550000,1746,https://qoshan.com/property/%d8%b4%d8%a8%d9%87-4-%d9%86%d9%88%d9%85-%d9%82%d9%8a%d8%af-%d8%a7%d9%84%d8%a5%d9%86%d8%b4%d8%a7%d8%a1-%d9%81%d9%8a-%d8%a3%d9%81%d8%b6%d9%84-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9%d8%a8%d8%af%d9%88/
عبدون,شقة طابق أول 250م بأرقى مواقع عبدون,250,430000,1720,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82-%d8%a3%d9%88%d9%84-250%d9%85-%d8%a8%d8%a3%d8%b1%d9%82%d9%89-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق طابقية بمواصفات خاصة بأجمل مناطق عبدون,500,795000,1590,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d8%a8%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d8%ae%d8%a7%d8%b5%d8%a9-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%b9/
عبدون,شقة أرضية 4نوم بأجمل مواقع عبدون,275,430000,1564,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-4%d9%86%d9%88%d9%85-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق طابقية 425م في أفضل مواقع عبدون,425,640000,1506,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-425%d9%85-%d9%81%d9%8a-%d8%a3%d9%81%d8%b6%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,رووف بإطلالة فخمة ومساحات مميزة في عبدون,300,450000,1500,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%81%d8%ae%d9%85%d8%a9-%d9%88%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af/
عبدون,شقة أرضية 235م مع كراج و مدخل مستقل في عبدون,235,350000,1489,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-235%d9%85-%d9%85%d8%b9-%d9%83%d8%b1%d8%a7%d8%ac-%d9%88-%d9%85%d8%af%d8%ae%d9%84-%d9%85%d8%b3%d8%aa%d9%82%d9%84-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88/
عبدون,شقة أرضية 310م مع حديقة في عبدون الشمالي,310,450000,1452,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-310%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86-%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a/
