rank,area,listings_used,listed_total,median_jod_per_m2,mean_jod_per_m2,min,max,median_price_jod,median_size_m2,tier,tier_label
1,شارع المدينة الطبية,1,1,5000,5000,5000,5000,450000,90,A,فاخرة / Premium
2,بوليفارد العبدلي,5,6,2364,2276,1623,2750,220000,80,A,فاخرة / Premium
3,حجارة النوابلسة,1,7,1420,1420,1420,1420,169000,119,A,فاخرة / Premium
4,الفحيص,1,1,1233,1233,1233,1233,450000,365,A,فاخرة / Premium
5,السرو,1,1,1231,1231,1231,1231,400000,325,A,فاخرة / Premium
6,الدوار الرابع,2,6,1219,1219,1000,1438,162500,145,A,فاخرة / Premium
7,عبدون,69,113,1200,1232,649,2500,360000,310,A,فاخرة / Premium
8,دابوق,67,134,1184,1256,462,3077,410000,389,A,فاخرة / Premium
9,جبل عمان,21,38,1176,1204,895,1478,335000,230,A,فاخرة / Premium
10,الحمر,1,2,1100,1100,1100,1100,660000,600,B,راقية / Upper-mid
11,شفا بدران,1,1,1100,1100,1100,1100,550000,500,B,راقية / Upper-mid
12,رجم عميش,12,32,1062,1115,727,1912,315000,250,B,راقية / Upper-mid
13,الدوار السابع,5,12,1022,969,739,1087,125000,115,B,راقية / Upper-mid
14,أم اذينة,22,43,1012,997,569,1500,225000,242,B,راقية / Upper-mid
15,بدر,5,6,962,1057,857,1309,600000,600,B,راقية / Upper-mid
16,بدر الجديدة,2,3,938,938,738,1137,410000,418,C,متوسطة / Mid-range
17,دير غبار,62,94,913,948,542,1899,210000,230,C,متوسطة / Mid-range
18,الظهير,18,39,904,1033,538,2231,224500,240,C,متوسطة / Mid-range
19,حي الكرسي,13,28,904,907,433,1515,225000,220,C,متوسطة / Mid-range
20,خلدا,73,122,900,969,565,2500,200000,220,C,متوسطة / Mid-range
21,شارع مكة المكرمة,1,2,900,900,900,900,135000,150,C,متوسطة / Mid-range
22,الرابية,14,21,898,869,521,1198,161500,190,C,متوسطة / Mid-range
23,أم السماق,15,21,875,863,446,1150,210000,240,C,متوسطة / Mid-range
24,الصويفية,11,24,861,968,546,1447,235000,270,C,متوسطة / Mid-range
25,ضاحية النخيل,28,50,837,874,462,2500,166500,200,C,متوسطة / Mid-range
26,الجندويل,4,6,792,691,317,864,124000,202,C,متوسطة / Mid-range
27,ضاحية الأمير راشد,11,17,787,805,338,1083,180000,180,C,متوسطة / Mid-range
28,الرونق,2,6,778,778,633,923,112500,148,C,متوسطة / Mid-range
29,الطبقة,1,1,750,750,750,750,180000,240,C,متوسطة / Mid-range
30,طريق المطار,22,53,731,809,215,2250,162500,200,D,اقتصادية / Affordable
31,حي الصحابة,2,7,713,713,677,750,165000,233,D,اقتصادية / Affordable
32,شارع المدينة المنورة,1,1,679,679,679,679,125000,184,D,اقتصادية / Affordable
33,مرج الحمام,5,12,600,638,556,759,135000,200,D,اقتصادية / Affordable
34,البنيات,4,7,565,525,385,587,115000,198,D,اقتصادية / Affordable
35,الشميساني,2,4,563,563,292,833,172500,312,D,اقتصادية / Affordable
36,ناعور,4,13,535,644,220,1286,310000,564,D,اقتصادية / Affordable
37,أبو السوس,1,3,510,510,510,510,130000,255,D,اقتصادية / Affordable
38,أم رمانة,1,1,492,492,492,492,160000,325,D,اقتصادية / Affordable
39,الطنيب,1,2,231,231,231,231,75000,325,D,اقتصادية / Affordable
40,الجيزة,0,1,,,,,,,—,بيانات غير كافية
41,الدوار الخامس,0,1,,,,,,,—,بيانات غير كافية
42,الشونة الجنوبية,0,1,,,,,,,—,بيانات غير كافية
43,تلاع العلي,0,3,,,,,,,—,بيانات غير كافية
44,سوف,0,1,,,,,,,—,بيانات غير كافية
45,شارع الاردن,0,2,,,,,,,—,بيانات غير كافية
46,ضاحية الرشيد,0,1,,,,,,,—,بيانات غير كافية
47,طريق المطار أم رمانة,0,1,,,,,,,—,بيانات غير كافية
48,كوريدور عبدون,0,8,,,,,,,—,بيانات غير كافية
